address,type,size,newcap,origurl,lat,long
"1525 Arch St Berkeley CA","Multifamily",8360,5.50,"https://www.loopnet.com/Listing/17687365/1525-Arch-St-Berkeley-CA/",37.879874,-122.26438
"1528 Oxford Street Berkeley CA","Multifamily",8360,6.00,"https://www.loopnet.com/Listing/18814798/1528-Oxford-Street-Berkeley-CA/",37.879320,-122.26728
"1536 Oxford Street Berkeley CA","Multifamily",11880,6.00,"https://www.loopnet.com/Listing/15624854/1536-Oxford-Street-Berkeley-CA/",37.879263,-122.26774
"1543 Spruce Street Berkeley CA","Multifamily",2700,6.00,"https://www.loopnet.com/Listing/16259681/1543-Spruce-Street-Berkeley-CA/",37.879242,-122.26552
"1550 Oxford Street Berkeley CA","Multifamily",4994,3.50,"https://www.loopnet.com/Listing/19823354/1550-Oxford-Street-Berkeley-CA/",37.878826,-122.26713
"1550 Walnut Street Berkeley CA","Multifamily",8800,5.50,"https://www.loopnet.com/Listing/14559224/1550-Walnut-Street-Berkeley-CA/",37.878729,-122.26829
"1555 Oxford Street Berkeley CA","Multifamily",12320,6.00,"https://www.loopnet.com/Listing/14559136/1555-Oxford-Street-Berkeley-CA/",37.878986,-122.26656
"1607 Milvia Street Berkeley CA","Multifamily",6160,5.00,"https://www.loopnet.com/Listing/13960941/1607-Milvia-Street-Berkeley-CA/",37.877777,-122.27106
"1609 Bonita Ave Berkeley CA","Multifamily",7480,3.50,"https://www.loopnet.com/Listing/15359002/1609-Bonita-Ave-Berkeley-CA/",37.877589,-122.27216
"1618 Milvia Street Berkeley CA","Multifamily",4840,6.00,"https://www.loopnet.com/Listing/14947783/1618-Milvia-Street-Berkeley-CA/",37.877400,-122.27168
"1628 Walnut Street Berkeley CA","Multifamily",5280,3.50,"https://www.loopnet.com/Listing/16963572/1628-Walnut-Street-Berkeley-CA/",37.877473,-122.26820
"1634 Milvia Street Berkeley CA","Multifamily",6616,6.00,"https://www.loopnet.com/Listing/14398334/1634-Milvia-Street-Berkeley-CA/",37.876967,-122.27163
"1644 Oxford Street Berkeley CA","Multifamily",12480,5.50,"https://www.loopnet.com/Listing/14734454/1644-Oxford-Street-Berkeley-CA/",37.877924,-122.26711
"1720 Spruce Street Berkeley CA","Multifamily",7040,5.50,"https://www.loopnet.com/Listing/18285255/1720-Spruce-Street-Berkeley-CA/",37.876672,-122.26580
"1734 Spruce Street Berkeley CA","Multifamily",6600,5.00,"https://www.loopnet.com/Listing/19522622/1734-Spruce-Street-Berkeley-CA/",37.876292,-122.26576
"1738 Spruce Berkeley CA","Multifamily",2693,6.00,"https://www.loopnet.com/Listing/18402861/1738-Spruce-Berkeley-CA/",37.876154,-122.26577
"1749 Oxford St Berkeley CA","Multifamily",6600,6.00,"https://www.loopnet.com/Listing/16860681/1749-Oxford-St-Berkeley-CA/",37.875967,-122.26622
"1780 LeRoy Ave Berkeley CA","Multifamily",4840,7.00,"https://www.loopnet.com/Listing/14394060/1780-LeRoy-Ave-Berkeley-CA/",37.876448,-122.25873
"1907 Haste St Berkeley CA","Multifamily",6600,4.50,"https://www.loopnet.com/Listing/14292620/1907-Haste-St-Berkeley-CA/",37.864571,-122.27186
"1933 Delaware Street Berkeley CA","Multifamily",6600,6.00,"https://www.loopnet.com/Listing/14035783/1933-Delaware-Street-Berkeley-CA/",37.874656,-122.27182
"2008 Shattuck Ave Berkeley CA","Multifamily",5280,4.50,"https://www.loopnet.com/Listing/19273622/2008-Shattuck-Ave-Berkeley-CA/",37.871733,-122.26867
"2010 Channing Way Berkeley CA","Multifamily",3682,4.00,"https://www.loopnet.com/Listing/14467423/2010-Channing-Way-Berkeley-CA/",37.865256,-122.26951
"2015 Haste Street Berkeley CA","Multifamily",13640,6.00,"https://www.loopnet.com/Listing/16487776/2015-Haste-Street-Berkeley-CA/",37.864917,-122.26927
"2020 Dwight Way Berkeley CA","Multifamily",6600,4.50,"https://www.loopnet.com/Listing/15121208/2020-Dwight-Way-Berkeley-CA/",37.863525,-122.26877
"2023 Channing Way Berkeley CA","Multifamily",4750,4.50,"https://www.loopnet.com/Listing/17201611/2023-Channing-Way-Berkeley-CA/",37.865860,-122.26898
"2053 Berkeley Way Berkeley CA","Multifamily",3080,7.00,"https://www.loopnet.com/Listing/17927821/2053-Berkeley-Way-Berkeley-CA/",37.873079,-122.26878
"2057 UNIVERSITY AVE Berkeley CA","Multifamily",6600,7.00,"https://www.loopnet.com/Listing/15796867/2057-UNIVERSITY-AVE-Berkeley-CA/",37.872330,-122.26931
"2057 University Ave Berkeley CA","Multifamily",6600,5.50,"https://www.loopnet.com/Listing/16473215/2057-University-Ave-Berkeley-CA/",37.872330,-122.26931
"2109 Shattuck Ave Berkeley CA","Multifamily",24000,5.00,"https://www.loopnet.com/Listing/14409084/2109-Shattuck-Ave-Berkeley-CA/",37.871025,-122.26735
"2109 Shattuck Avenue Berkeley CA","Multifamily",23268,7.00,"https://www.loopnet.com/Listing/14627799/2109-Shattuck-Avenue-Berkeley-CA/",37.871025,-122.26735
"2120 Delaware Street Berkeley CA","Multifamily",8237,5.00,"https://www.loopnet.com/Listing/14266676/2120-Delaware-Street-Berkeley-CA/",37.874600,-122.26811
"2125 Cedar St Berkeley CA","Multifamily",6160,5.00,"https://www.loopnet.com/Listing/20381633/2125-Cedar-St-Berkeley-CA/",37.878854,-122.26766
"2137 Haste Street Berkeley CA","Multifamily",9055,5.00,"https://www.loopnet.com/Listing/14783109/2137-Haste-Street-Berkeley-CA/",37.865244,-122.26579
"2201 Channing Way Berkeley CA","Multifamily",5280,6.50,"https://www.loopnet.com/Listing/15217394/2201-Channing-Way-Berkeley-CA/",37.866215,-122.26537
"2204 Channing Way Berkeley CA","Multifamily",6600,6.50,"https://www.loopnet.com/Listing/15215348/2204-Channing-Way-Berkeley-CA/",37.865936,-122.26527
"2210 Durant Avenue Berkeley CA","Multifamily",7040,6.00,"https://www.loopnet.com/Listing/16835535/2210-Durant-Avenue-Berkeley-CA/",37.866711,-122.26522
"2214 Durant Ave Berkeley CA","Multifamily",4400,4.50,"https://www.loopnet.com/Listing/15930176/2214-Durant-Ave-Berkeley-CA/",37.866731,-122.26506
"2214 Haste Street Berkeley CA","Multifamily",5229,5.00,"https://www.loopnet.com/Listing/14261762/2214-Haste-Street-Berkeley-CA/",37.864966,-122.26468
"2231 Cedar Street Berkeley CA","Multifamily",5280,5.00,"https://www.loopnet.com/Listing/16502622/2231-Cedar-Street-Berkeley-CA/",37.878995,-122.26599
"2252 Parker Street Berkeley CA","Multifamily",6600,4.50,"https://www.loopnet.com/Listing/14287779/2252-Parker-Street-Berkeley-CA/",37.862449,-122.26286
"2283 Hearst Avenue Berkeley CA","Multifamily",10000,6.00,"https://www.loopnet.com/Listing/13966479/2283-Hearst-Avenue-Berkeley-CA/",37.874747,-122.26450
"2315 Hearst St Berkeley CA","Multifamily",1880,5.00,"https://www.loopnet.com/Listing/13844210/2315-Hearst-St-Berkeley-CA/",37.874858,-122.26318
